Feature;Name;Toolbox;Category;Family;Parent;Description
F0191;MFCC6 (min);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC6;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0192;MFCC7 (mean);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC7;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0193;MFCC7 (std);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC7;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0194;MFCC7 (skewness);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC7;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0195;MFCC7 (kurtosis);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC7;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0196;MFCC7 (max);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC7;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0197;MFCC7 (min);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC7;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0198;MFCC8 (mean);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC8;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0199;MFCC8 (std);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC8;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0200;MFCC8 (skewness);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC8;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0201;MFCC8 (kurtosis);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC8;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0202;MFCC8 (max);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC8;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0203;MFCC8 (min);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC8;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0204;MFCC9 (mean);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC9;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0205;MFCC9 (std);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC9;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0206;MFCC9 (skewness);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC9;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0207;MFCC9 (kurtosis);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC9;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0208;MFCC9 (max);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC9;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0209;MFCC9 (min);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC9;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0210;MFCC10 (mean);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC10;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0211;MFCC10 (std);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC10;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0212;MFCC10 (skewness);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC10;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0213;MFCC10 (kurtosis);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC10;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0214;MFCC10 (max);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC10;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0215;MFCC10 (min);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC10;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0216;MFCC11 (mean);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC11;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0217;MFCC11 (std);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC11;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0218;MFCC11 (skewness);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC11;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0219;MFCC11 (kurtosis);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC11;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0220;MFCC11 (max);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC11;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0221;MFCC11 (min);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC11;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0222;MFCC12 (mean);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC12;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0223;MFCC12 (std);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC12;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0224;MFCC12 (skewness);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC12;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0225;MFCC12 (kurtosis);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC12;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0226;MFCC12 (max);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC12;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0227;MFCC12 (min);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC12;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0228;MFCC13 (mean);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC13;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0229;MFCC13 (std);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC13;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0230;MFCC13 (skewness);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC13;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0231;MFCC13 (kurtosis);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC13;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0232;MFCC13 (max);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC13;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0233;MFCC13 (min);MIR Toolbox 1.6.1;Tone Color;MFCC;MFCC13;MFCC offers a description of the spectral shape of the sound. The calculation is basically: audio > DFT > Abs > Log > MelScale > DCT.
F0234;Roughness (mean);MIR Toolbox 1.6.1;Tone Color;Roughness;Roughness;An estimation of the sensory dissonance, or roughness, related to the beating phenomenon whenever pair of sinusoids are closed in frequency.
F0235;Roughness (std);MIR Toolbox 1.6.1;Tone Color;Roughness;Roughness;An estimation of the sensory dissonance, or roughness, related to the beating phenomenon whenever pair of sinusoids are closed in frequency.
F0236;Roughness (skewness);MIR Toolbox 1.6.1;Tone Color;Roughness;Roughness;An estimation of the sensory dissonance, or roughness, related to the beating phenomenon whenever pair of sinusoids are closed in frequency.
F0237;Roughness (kurtosis);MIR Toolbox 1.6.1;Tone Color;Roughness;Roughness;An estimation of the sensory dissonance, or roughness, related to the beating phenomenon whenever pair of sinusoids are closed in frequency.
F0238;Roughness (max);MIR Toolbox 1.6.1;Tone Color;Roughness;Roughness;An estimation of the sensory dissonance, or roughness, related to the beating phenomenon whenever pair of sinusoids are closed in frequency.
F0239;Roughness (min);MIR Toolbox 1.6.1;Tone Color;Roughness;Roughness;An estimation of the sensory dissonance, or roughness, related to the beating phenomenon whenever pair of sinusoids are closed in frequency.
F0240;Irregularity (mean);MIR Toolbox 1.6.1;Tone Color;Irregularity;Irregularity;Spectral Peaks Variability. The irregularity of a spectrum is the degree of variation of the successive peaks of the spectrum. 
F0241;Irregularity (std);MIR Toolbox 1.6.1;Tone Color;Irregularity;Irregularity;Spectral Peaks Variability. The irregularity of a spectrum is the degree of variation of the successive peaks of the spectrum. 
F0242;Irregularity (skewness);MIR Toolbox 1.6.1;Tone Color;Irregularity;Irregularity;Spectral Peaks Variability. The irregularity of a spectrum is the degree of variation of the successive peaks of the spectrum. 
F0243;Irregularity (kurtosis);MIR Toolbox 1.6.1;Tone Color;Irregularity;Irregularity;Spectral Peaks Variability. The irregularity of a spectrum is the degree of variation of the successive peaks of the spectrum. 
F0244;Irregularity (max);MIR Toolbox 1.6.1;Tone Color;Irregularity;Irregularity;Spectral Peaks Variability. The irregularity of a spectrum is the degree of variation of the successive peaks of the spectrum. 
F0245;Irregularity (min);MIR Toolbox 1.6.1;Tone Color;Irregularity;Irregularity;Spectral Peaks Variability. The irregularity of a spectrum is the degree of variation of the successive peaks of the spectrum. 
F0246;Inharmonicity (mean);MIR Toolbox 1.6.1;Harmony;Inharmonicity;Inharmonicity;The amount of partials that are not multiples of the fundamental frequency, as a value between 0 and 1.
F0247;Inharmonicity (std);MIR Toolbox 1.6.1;Harmony;Inharmonicity;Inharmonicity;The amount of partials that are not multiples of the fundamental frequency, as a value between 0 and 1.
F0248;Inharmonicity (skewness);MIR Toolbox 1.6.1;Harmony;Inharmonicity;Inharmonicity;The amount of partials that are not multiples of the fundamental frequency, as a value between 0 and 1.
F0249;Inharmonicity (kurtosis);MIR Toolbox 1.6.1;Harmony;Inharmonicity;Inharmonicity;The amount of partials that are not multiples of the fundamental frequency, as a value between 0 and 1.
F0250;Inharmonicity (max);MIR Toolbox 1.6.1;Harmony;Inharmonicity;Inharmonicity;The amount of partials that are not multiples of the fundamental frequency, as a value between 0 and 1.
F0251;Inharmonicity (min);MIR Toolbox 1.6.1;Harmony;Inharmonicity;Inharmonicity;The amount of partials that are not multiples of the fundamental frequency, as a value between 0 and 1.
F0252;F0 Estimation (mean);MIR Toolbox 1.6.1;Melody;F0 Estimation;F0 Estimation;Pitch estimation. Extract pitches, returned either as continuous pitch curves or as discretized note events.
F0253;F0 Estimation (std);MIR Toolbox 1.6.1;Melody;F0 Estimation;F0 Estimation;Pitch estimation. Extract pitches, returned either as continuous pitch curves or as discretized note events.
F0254;F0 Estimation (skewness);MIR Toolbox 1.6.1;Melody;F0 Estimation;F0 Estimation;Pitch estimation. Extract pitches, returned either as continuous pitch curves or as discretized note events.
F0255;F0 Estimation (kurtosis);MIR Toolbox 1.6.1;Melody;F0 Estimation;F0 Estimation;Pitch estimation. Extract pitches, returned either as continuous pitch curves or as discretized note events.
F0256;F0 Estimation (max);MIR Toolbox 1.6.1;Melody;F0 Estimation;F0 Estimation;Pitch estimation. Extract pitches, returned either as continuous pitch curves or as discretized note events.
F0257;F0 Estimation (min);MIR Toolbox 1.6.1;Melody;F0 Estimation;F0 Estimation;Pitch estimation. Extract pitches, returned either as continuous pitch curves or as discretized note events.
F0258;Chromagram (mean);MIR Toolbox 1.6.1;Harmony;Chroma;Chromagram;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0259;Chromagram (std);MIR Toolbox 1.6.1;Harmony;Chroma;Chromagram;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0260;Chromagram (skewness);MIR Toolbox 1.6.1;Harmony;Chroma;Chromagram;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0261;Chromagram (kurtosis);MIR Toolbox 1.6.1;Harmony;Chroma;Chromagram;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0262;Chromagram (max);MIR Toolbox 1.6.1;Harmony;Chroma;Chromagram;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0263;Chromagram (min);MIR Toolbox 1.6.1;Harmony;Chroma;Chromagram;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0264;Chroma C;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0265;Chroma C#;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0266;Chroma D;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0267;Chroma D#;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0268;Chroma E;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0269;Chroma F;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0270;Chroma F#;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0271;Chroma G;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0272;Chroma G#;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0273;Chroma A;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0274;Chroma A#;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0275;Chroma B;MIR Toolbox 1.6.1;Harmony;Chroma;Chroma;The chromagram, also called Harmonic Pitch Class Profile (HPCP), shows the distribution of energy along the pitches or pitch classes.
F0276;Key Major Strength (mean);MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0277;Key Major Strength (std);MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0278;Key Major Strength (skewness);MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0279;Key Major Strength (kurtosis);MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0280;Key Major Strength (max);MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0281;Key Major Strength (min);MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0282;Key Minor Strength (mean);MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0283;Key Minor Strength (std);MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0284;Key Minor Strength (skewness);MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0285;Key Minor Strength (kurtosis);MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0286;Key Minor Strength (max);MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0287;Key Minor Strength (min);MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0288;Key Major Strength C;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0289;Key Major Strength C#;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0290;Key Major Strength D;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0291;Key Major Strength D#;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0292;Key Major Strength E;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0293;Key Major Strength F;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0294;Key Major Strength F#;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0295;Key Major Strength G;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0296;Key Major Strength G#;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0297;Key Major Strength A;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0298;Key Major Strength A#;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0299;Key Major Strength B;MIR Toolbox 1.6.1;Harmony;Key;Key Major Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0300;Key Minor Strength C;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0301;Key Minor Strength C#;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0302;Key Minor Strength D;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0303;Key Minor Strength D#;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0304;Key Minor Strength E;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0305;Key Minor Strength F;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0306;Key Minor Strength F#;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0307;Key Minor Strength G;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0308;Key Minor Strength G#;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0309;Key Minor Strength A;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0310;Key Minor Strength A#;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0311;Key Minor Strength B;MIR Toolbox 1.6.1;Harmony;Key;Key Minor Strength;Probability of Key Candidates, a score between -1 and +1 associated with each possible key candidate.
F0312;Key;MIR Toolbox 1.6.1;Harmony;Key;Key;Gives a broad estimation of tonal center positions and their respective clarity.
F0313;Key Clarity;MIR Toolbox 1.6.1;Harmony;Key;Key Clarity;Gives a broad estimation of tonal center positions and their respective clarity.
F0314;Mode;MIR Toolbox 1.6.1;Harmony;Mode;Mode;Estimates the modality, i.e. major vs. minor, returned as a numerical value between -1 (minor) and +1 (major).
F0315;Tonal Centroid 1 (mean);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 1;The 6-dimensional tonal centroid vector from the chromagram.
F0316;Tonal Centroid 1 (std);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 1;The 6-dimensional tonal centroid vector from the chromagram.
F0317;Tonal Centroid 1 (skewness);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 1;The 6-dimensional tonal centroid vector from the chromagram.
F0318;Tonal Centroid 1 (kurtosis);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 1;The 6-dimensional tonal centroid vector from the chromagram.
F0319;Tonal Centroid 1 (max);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 1;The 6-dimensional tonal centroid vector from the chromagram.
F0320;Tonal Centroid 1 (min);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 1;The 6-dimensional tonal centroid vector from the chromagram.
F0321;Tonal Centroid 2 (mean);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 2;The 6-dimensional tonal centroid vector from the chromagram.
F0322;Tonal Centroid 2 (std);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 2;The 6-dimensional tonal centroid vector from the chromagram.
F0323;Tonal Centroid 2 (skewness);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 2;The 6-dimensional tonal centroid vector from the chromagram.
F0324;Tonal Centroid 2 (kurtosis);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 2;The 6-dimensional tonal centroid vector from the chromagram.
F0325;Tonal Centroid 2 (max);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 2;The 6-dimensional tonal centroid vector from the chromagram.
F0326;Tonal Centroid 2 (min);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 2;The 6-dimensional tonal centroid vector from the chromagram.
F0327;Tonal Centroid 3 (mean);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 3;The 6-dimensional tonal centroid vector from the chromagram.
F0328;Tonal Centroid 3 (std);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 3;The 6-dimensional tonal centroid vector from the chromagram.
F0329;Tonal Centroid 3 (skewness);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 3;The 6-dimensional tonal centroid vector from the chromagram.
F0330;Tonal Centroid 3 (kurtosis);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 3;The 6-dimensional tonal centroid vector from the chromagram.
F0331;Tonal Centroid 3 (max);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 3;The 6-dimensional tonal centroid vector from the chromagram.
F0332;Tonal Centroid 3 (min);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 3;The 6-dimensional tonal centroid vector from the chromagram.
F0333;Tonal Centroid 4 (mean);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 4;The 6-dimensional tonal centroid vector from the chromagram.
F0334;Tonal Centroid 4 (std);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 4;The 6-dimensional tonal centroid vector from the chromagram.
F0335;Tonal Centroid 4 (skewness);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 4;The 6-dimensional tonal centroid vector from the chromagram.
F0336;Tonal Centroid 4 (kurtosis);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 4;The 6-dimensional tonal centroid vector from the chromagram.
F0337;Tonal Centroid 4 (max);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 4;The 6-dimensional tonal centroid vector from the chromagram.
F0338;Tonal Centroid 4 (min);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 4;The 6-dimensional tonal centroid vector from the chromagram.
F0339;Tonal Centroid 5 (mean);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 5;The 6-dimensional tonal centroid vector from the chromagram.
F0340;Tonal Centroid 5 (std);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 5;The 6-dimensional tonal centroid vector from the chromagram.
F0341;Tonal Centroid 5 (skewness);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 5;The 6-dimensional tonal centroid vector from the chromagram.
F0342;Tonal Centroid 5 (kurtosis);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 5;The 6-dimensional tonal centroid vector from the chromagram.
F0343;Tonal Centroid 5 (max);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 5;The 6-dimensional tonal centroid vector from the chromagram.
F0344;Tonal Centroid 5 (min);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 5;The 6-dimensional tonal centroid vector from the chromagram.
F0345;Tonal Centroid 6 (mean);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 6;The 6-dimensional tonal centroid vector from the chromagram.
F0346;Tonal Centroid 6 (std);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 6;The 6-dimensional tonal centroid vector from the chromagram.
F0347;Tonal Centroid 6 (skewness);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 6;The 6-dimensional tonal centroid vector from the chromagram.
F0348;Tonal Centroid 6 (kurtosis);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 6;The 6-dimensional tonal centroid vector from the chromagram.
F0349;Tonal Centroid 6 (max);MIR Toolbox 1.6.1;Harmony;Tonal Centroid;Tonal Centroid 6;The 6-dimensional tonal centroid vector from the chromagram.
